b_value,num_registers,run_id,f0_exact,n_t_estimate,relative_error,theoretical_error
4,16,0,50000,43095.67,0.138087,0.260000
4,16,1,50000,39583.05,0.208339,0.260000
4,16,2,50000,42931.81,0.141364,0.260000
4,16,3,50000,80939.54,0.618791,0.260000
4,16,4,50000,37636.89,0.247262,0.260000
4,16,5,50000,89611.64,0.792233,0.260000
4,16,6,50000,64520.38,0.290408,0.260000
4,16,7,50000,40725.22,0.185496,0.260000
4,16,8,50000,71689.31,0.433786,0.260000
4,16,9,50000,42769.19,0.144616,0.260000
4,16,10,50000,33504.65,0.329907,0.260000
4,16,11,50000,63432.96,0.268659,0.260000
4,16,12,50000,52516.59,0.050332,0.260000
4,16,13,50000,39205.09,0.215898,0.260000
4,16,14,50000,75778.97,0.515579,0.260000
4,16,15,50000,64798.09,0.295962,0.260000
4,16,16,50000,58051.76,0.161035,0.260000
4,16,17,50000,95484.71,0.909694,0.260000
4,16,18,50000,50182.52,0.003650,0.260000
4,16,19,50000,28512.79,0.429744,0.260000
5,32,0,50000,39439.19,0.211216,0.183848
5,32,1,50000,45127.72,0.097446,0.183848
5,32,2,50000,53981.39,0.079628,0.183848
5,32,3,50000,65787.45,0.315749,0.183848
5,32,4,50000,46939.17,0.061217,0.183848
5,32,5,50000,78944.94,0.578899,0.183848
5,32,6,50000,56346.79,0.126936,0.183848
5,32,7,50000,53486.61,0.069732,0.183848
5,32,8,50000,70074.72,0.401494,0.183848
5,32,9,50000,38121.34,0.237573,0.183848
5,32,10,50000,43796.70,0.124066,0.183848
5,32,11,50000,67496.22,0.349924,0.183848
5,32,12,50000,50458.34,0.009167,0.183848
5,32,13,50000,38340.06,0.233199,0.183848
5,32,14,50000,65787.45,0.315749,0.183848
5,32,15,50000,68534.62,0.370692,0.183848
5,32,16,50000,42021.23,0.159575,0.183848
5,32,17,50000,67447.55,0.348951,0.183848
5,32,18,50000,53857.08,0.077142,0.183848
5,32,19,50000,33931.72,0.321366,0.183848
6,64,0,50000,46171.94,0.076561,0.130000
6,64,1,50000,45346.85,0.093063,0.130000
6,64,2,50000,56349.59,0.126992,0.130000
6,64,3,50000,64460.88,0.289218,0.130000
6,64,4,50000,46612.97,0.067741,0.130000
6,64,5,50000,55551.88,0.111038,0.130000
6,64,6,50000,54922.66,0.098453,0.130000
6,64,7,50000,54357.46,0.087149,0.130000
6,64,8,50000,53596.38,0.071928,0.130000
6,64,9,50000,43007.91,0.139842,0.130000
6,64,10,50000,51396.36,0.027927,0.130000
6,64,11,50000,64243.29,0.284866,0.130000
6,64,12,50000,54807.99,0.096160,0.130000
6,64,13,50000,36962.66,0.260747,0.130000
6,64,14,50000,53490.93,0.069819,0.130000
6,64,15,50000,72392.83,0.447857,0.130000
6,64,16,50000,47852.34,0.042953,0.130000
6,64,17,50000,65167.18,0.303344,0.130000
6,64,18,50000,57967.18,0.159344,0.130000
6,64,19,50000,45282.12,0.094358,0.130000
7,128,0,50000,47887.26,0.042255,0.091924
7,128,1,50000,43689.39,0.126212,0.091924
7,128,2,50000,61348.02,0.226960,0.091924
7,128,3,50000,61564.40,0.231288,0.091924
7,128,4,50000,44859.43,0.102811,0.091924
7,128,5,50000,56496.68,0.129934,0.091924
7,128,6,50000,55418.40,0.108368,0.091924
7,128,7,50000,55153.00,0.103060,0.091924
7,128,8,50000,49153.01,0.016940,0.091924
7,128,9,50000,46292.51,0.074150,0.091924
7,128,10,50000,53481.14,0.069623,0.091924
7,128,11,50000,51218.13,0.024363,0.091924
7,128,12,50000,48296.81,0.034064,0.091924
7,128,13,50000,45459.52,0.090810,0.091924
7,128,14,50000,45356.16,0.092877,0.091924
7,128,15,50000,54047.56,0.080951,0.091924
7,128,16,50000,54140.91,0.082818,0.091924
7,128,17,50000,53653.94,0.073079,0.091924
7,128,18,50000,52178.53,0.043571,0.091924
7,128,19,50000,47965.02,0.040700,0.091924
8,256,0,50000,49747.75,0.005045,0.065000
8,256,1,50000,46885.10,0.062298,0.065000
8,256,2,50000,52121.33,0.042427,0.065000
8,256,3,50000,55069.35,0.101387,0.065000
8,256,4,50000,47895.63,0.042087,0.065000
8,256,5,50000,56137.08,0.122742,0.065000
8,256,6,50000,54351.86,0.087037,0.065000
8,256,7,50000,51462.81,0.029256,0.065000
8,256,8,50000,48896.17,0.022077,0.065000
8,256,9,50000,49500.29,0.009994,0.065000
8,256,10,50000,48372.52,0.032550,0.065000
8,256,11,50000,45905.74,0.081885,0.065000
8,256,12,50000,52365.07,0.047301,0.065000
8,256,13,50000,44808.23,0.103835,0.065000
8,256,14,50000,48656.71,0.026866,0.065000
8,256,15,50000,52420.68,0.048414,0.065000
8,256,16,50000,51904.67,0.038093,0.065000
8,256,17,50000,57820.00,0.156400,0.065000
8,256,18,50000,50837.99,0.016760,0.065000
8,256,19,50000,45393.72,0.092126,0.065000
9,512,0,50000,52341.92,0.046838,0.045962
9,512,1,50000,49166.06,0.016679,0.045962
9,512,2,50000,53577.90,0.071558,0.045962
9,512,3,50000,50125.58,0.002512,0.045962
9,512,4,50000,48785.01,0.024300,0.045962
9,512,5,50000,51986.55,0.039731,0.045962
9,512,6,50000,49823.04,0.003539,0.045962
9,512,7,50000,49845.99,0.003080,0.045962
9,512,8,50000,48133.10,0.037338,0.045962
9,512,9,50000,50186.61,0.003732,0.045962
9,512,10,50000,48676.89,0.026462,0.045962
9,512,11,50000,49907.29,0.001854,0.045962
9,512,12,50000,51631.00,0.032620,0.045962
9,512,13,50000,48288.36,0.034233,0.045962
9,512,14,50000,49074.16,0.018517,0.045962
9,512,15,50000,50007.60,0.000152,0.045962
9,512,16,50000,49750.60,0.004988,0.045962
9,512,17,50000,52413.14,0.048263,0.045962
9,512,18,50000,51813.32,0.036266,0.045962
9,512,19,50000,47838.06,0.043239,0.045962
10,1024,0,50000,51993.40,0.039868,0.032500
10,1024,1,50000,50694.79,0.013896,0.032500
10,1024,2,50000,54052.32,0.081046,0.032500
10,1024,3,50000,50980.57,0.019611,0.032500
10,1024,4,50000,49161.71,0.016766,0.032500
10,1024,5,50000,50431.22,0.008624,0.032500
10,1024,6,50000,51068.90,0.021378,0.032500
10,1024,7,50000,50124.57,0.002491,0.032500
10,1024,8,50000,47866.49,0.042670,0.032500
10,1024,9,50000,49600.06,0.007999,0.032500
10,1024,10,50000,50836.06,0.016721,0.032500
10,1024,11,50000,51042.37,0.020847,0.032500
10,1024,12,50000,49512.30,0.009754,0.032500
10,1024,13,50000,48077.99,0.038440,0.032500
10,1024,14,50000,50945.48,0.018910,0.032500
10,1024,15,50000,50779.28,0.015586,0.032500
10,1024,16,50000,47571.66,0.048567,0.032500
10,1024,17,50000,50059.99,0.001200,0.032500
10,1024,18,50000,52439.05,0.048781,0.032500
10,1024,19,50000,48800.84,0.023983,0.032500
11,2048,0,50000,50931.65,0.018633,0.022981
11,2048,1,50000,50174.38,0.003488,0.022981
11,2048,2,50000,52460.71,0.049214,0.022981
11,2048,3,50000,50531.64,0.010633,0.022981
11,2048,4,50000,49300.08,0.013998,0.022981
11,2048,5,50000,49911.95,0.001761,0.022981
11,2048,6,50000,50943.33,0.018867,0.022981
11,2048,7,50000,48952.74,0.020945,0.022981
11,2048,8,50000,49245.11,0.015098,0.022981
11,2048,9,50000,51602.27,0.032045,0.022981
11,2048,10,50000,50622.92,0.012458,0.022981
11,2048,11,50000,50489.19,0.009784,0.022981
11,2048,12,50000,49566.68,0.008666,0.022981
11,2048,13,50000,48730.97,0.025381,0.022981
11,2048,14,50000,51249.80,0.024996,0.022981
11,2048,15,50000,49136.98,0.017260,0.022981
11,2048,16,50000,48128.83,0.037423,0.022981
11,2048,17,50000,51293.10,0.025862,0.022981
11,2048,18,50000,52429.26,0.048585,0.022981
11,2048,19,50000,49858.75,0.002825,0.022981
12,4096,0,50000,51583.30,0.031666,0.016250
12,4096,1,50000,50244.10,0.004882,0.016250
12,4096,2,50000,50196.30,0.003926,0.016250
12,4096,3,50000,49876.77,0.002465,0.016250
12,4096,4,50000,49379.59,0.012408,0.016250
12,4096,5,50000,50221.51,0.004430,0.016250
12,4096,6,50000,50094.27,0.001885,0.016250
12,4096,7,50000,50045.35,0.000907,0.016250
12,4096,8,50000,51011.51,0.020230,0.016250
12,4096,9,50000,49696.93,0.006061,0.016250
12,4096,10,50000,48991.84,0.020163,0.016250
12,4096,11,50000,49431.69,0.011366,0.016250
12,4096,12,50000,50063.41,0.001268,0.016250
12,4096,13,50000,49182.33,0.016353,0.016250
12,4096,14,50000,50822.19,0.016444,0.016250
12,4096,15,50000,49888.74,0.002225,0.016250
12,4096,16,50000,49934.79,0.001304,0.016250
12,4096,17,50000,50649.46,0.012989,0.016250
12,4096,18,50000,51394.74,0.027895,0.016250
12,4096,19,50000,49466.48,0.010670,0.016250
13,8192,0,50000,49947.07,0.001059,0.011490
13,8192,1,50000,50370.99,0.007420,0.011490
13,8192,2,50000,50481.03,0.009621,0.011490
13,8192,3,50000,50187.96,0.003759,0.011490
13,8192,4,50000,49450.67,0.010987,0.011490
13,8192,5,50000,50312.69,0.006254,0.011490
13,8192,6,50000,49662.07,0.006759,0.011490
13,8192,7,50000,50188.38,0.003768,0.011490
13,8192,8,50000,50421.50,0.008430,0.011490
13,8192,9,50000,49621.06,0.007579,0.011490
13,8192,10,50000,50166.31,0.003326,0.011490
13,8192,11,50000,50365.59,0.007312,0.011490
13,8192,12,50000,49975.18,0.000496,0.011490
13,8192,13,50000,49594.39,0.008112,0.011490
13,8192,14,50000,50142.96,0.002859,0.011490
13,8192,15,50000,50360.11,0.007202,0.011490
13,8192,16,50000,49387.16,0.012257,0.011490
13,8192,17,50000,50994.39,0.019888,0.011490
13,8192,18,50000,50840.23,0.016805,0.011490
13,8192,19,50000,49553.06,0.008939,0.011490
14,16384,0,50000,50652.26,0.013045,0.008125
14,16384,1,50000,50841.99,0.016840,0.008125
14,16384,2,50000,50992.35,0.019847,0.008125
14,16384,3,50000,50516.20,0.010324,0.008125
14,16384,4,50000,50298.53,0.005971,0.008125
14,16384,5,50000,51042.58,0.020852,0.008125
14,16384,6,50000,50490.27,0.009805,0.008125
14,16384,7,50000,50179.66,0.003593,0.008125
14,16384,8,50000,50913.84,0.018277,0.008125
14,16384,9,50000,50214.89,0.004298,0.008125
14,16384,10,50000,49980.97,0.000381,0.008125
14,16384,11,50000,50336.22,0.006724,0.008125
14,16384,12,50000,50420.23,0.008405,0.008125
14,16384,13,50000,50071.89,0.001438,0.008125
14,16384,14,50000,50500.89,0.010018,0.008125
14,16384,15,50000,50670.66,0.013413,0.008125
14,16384,16,50000,50253.32,0.005066,0.008125
14,16384,17,50000,51106.53,0.022131,0.008125
14,16384,18,50000,50612.99,0.012260,0.008125
14,16384,19,50000,50667.39,0.013348,0.008125
15,32768,0,50000,50141.69,0.002834,0.005745
15,32768,1,50000,50238.84,0.004777,0.005745
15,32768,2,50000,50406.05,0.008121,0.005745
15,32768,3,50000,49870.29,0.002594,0.005745
15,32768,4,50000,49966.64,0.000667,0.005745
15,32768,5,50000,50289.84,0.005797,0.005745
15,32768,6,50000,50146.31,0.002926,0.005745
15,32768,7,50000,49765.10,0.004698,0.005745
15,32768,8,50000,50266.65,0.005333,0.005745
15,32768,9,50000,50054.05,0.001081,0.005745
15,32768,10,50000,49514.91,0.009702,0.005745
15,32768,11,50000,49920.72,0.001586,0.005745
15,32768,12,50000,49810.79,0.003784,0.005745
15,32768,13,50000,49673.90,0.006522,0.005745
15,32768,14,50000,50063.26,0.001265,0.005745
15,32768,15,50000,50095.54,0.001911,0.005745
15,32768,16,50000,49824.52,0.003510,0.005745
15,32768,17,50000,50550.72,0.011014,0.005745
15,32768,18,50000,50331.63,0.006633,0.005745
15,32768,19,50000,49929.90,0.001402,0.005745
16,65536,0,50000,50150.35,0.003007,0.004063
16,65536,1,50000,50131.01,0.002620,0.004063
16,65536,2,50000,50085.90,0.001718,0.004063
16,65536,3,50000,50004.35,0.000087,0.004063
16,65536,4,50000,50004.35,0.000087,0.004063
16,65536,5,50000,50292.37,0.005847,0.004063
16,65536,6,50000,50042.97,0.000859,0.004063
16,65536,7,50000,49830.86,0.003383,0.004063
16,65536,8,50000,49980.76,0.000385,0.004063
16,65536,9,50000,50062.28,0.001246,0.004063
16,65536,10,50000,49965.76,0.000685,0.004063
16,65536,11,50000,49858.67,0.002827,0.004063
16,65536,12,50000,49717.59,0.005648,0.004063
16,65536,13,50000,49781.68,0.004366,0.004063
16,65536,14,50000,49899.34,0.002013,0.004063
16,65536,15,50000,50088.05,0.001761,0.004063
16,65536,16,50000,49860.81,0.002784,0.004063
16,65536,17,50000,50120.27,0.002405,0.004063
16,65536,18,50000,49974.33,0.000513,0.004063
16,65536,19,50000,50212.72,0.004254,0.004063
