bucket,count
0,374
1,397
2,379
3,329
4,412
5,428
6,351
7,397
8,420
9,369
10,417
11,392
12,362
13,442
14,380
15,412
16,394
17,384
18,366
19,381
20,394
21,384
22,393
23,406
24,419
25,350
26,379
27,388
28,367
29,429
30,349
31,393
32,378
33,370
34,367
35,418
36,409
37,419
38,401
39,397
40,396
41,406
42,416
43,383
44,365
45,364
46,403
47,364
48,398
49,370
50,377
51,393
52,395
53,361
54,389
55,393
56,369
57,389
58,408
59,386
60,398
61,374
62,385
63,377
64,419
65,387
66,421
67,386
68,402
69,408
70,361
71,365
72,400
73,395
74,406
75,397
76,372
77,372
78,388
79,401
80,414
81,434
82,390
83,381
84,386
85,381
86,382
87,392
88,376
89,380
90,414
91,406
92,375
93,412
94,398
95,408
96,377
97,406
98,455
99,410
100,414
101,408
102,391
103,366
104,404
105,392
106,397
107,423
108,382
109,366
110,397
111,403
112,395
113,397
114,417
115,395
116,382
117,378
118,353
119,395
120,375
121,421
122,390
123,389
124,361
125,410
126,392
127,442
128,385
129,401
130,373
131,399
132,398
133,420
134,360
135,384
136,402
137,337
138,392
139,403
140,378
141,408
142,386
143,354
144,399
145,377
146,405
147,375
148,408
149,400
150,410
151,383
152,395
153,362
154,396
155,372
156,417
157,418
158,379
159,356
160,367
161,397
162,391
163,404
164,393
165,390
166,387
167,408
168,412
169,415
170,369
171,350
172,393
173,395
174,397
175,391
176,384
177,388
178,399
179,403
180,352
181,428
182,403
183,399
184,367
185,363
186,407
187,401
188,374
189,372
190,385
191,363
192,373
193,421
194,394
195,403
196,385
197,367
198,418
199,383
200,377
201,365
202,400
203,380
204,409
205,393
206,372
207,362
208,395
209,400
210,400
211,378
212,397
213,407
214,386
215,389
216,381
217,381
218,406
219,378
220,400
221,363
222,427
223,382
224,374
225,410
226,373
227,383
228,386
229,385
230,364
231,416
232,353
233,395
234,416
235,397
236,389
237,407
238,371
239,353
240,390
241,382
242,422
243,401
244,403
245,368
246,387
247,399
248,391
249,422
250,414
251,386
252,395
253,396
254,403
255,371
