stream_id,stream_name,run_id,step,percent,processed,f0_exact,n_t_estimate,relative_error
0,small_50pct,0,0,5.0,500,479,480.99,0.004158
0,small_50pct,0,1,10.0,1000,924,926.72,0.002946
0,small_50pct,0,2,15.0,1500,1333,1341.45,0.006337
0,small_50pct,0,3,20.0,2000,1725,1732.45,0.004319
0,small_50pct,0,4,25.0,2500,2092,2098.88,0.003287
0,small_50pct,0,5,30.0,3000,2419,2428.39,0.003883
0,small_50pct,0,6,35.0,3500,2725,2732.74,0.002841
0,small_50pct,0,7,40.0,4000,3003,3019.99,0.005657
0,small_50pct,0,8,45.0,4500,3256,3264.69,0.002670
0,small_50pct,0,9,50.0,5000,3486,3485.87,-0.000037
0,small_50pct,0,10,55.0,5500,3702,3711.33,0.002520
0,small_50pct,0,11,60.0,6000,3907,3914.51,0.001923
0,small_50pct,0,12,65.0,6500,4087,4090.70,0.000905
0,small_50pct,0,13,70.0,7000,4269,4280.49,0.002691
0,small_50pct,0,14,75.0,7500,4423,4427.89,0.001104
0,small_50pct,0,15,80.0,8000,4556,4559.44,0.000755
0,small_50pct,0,16,85.0,8500,4689,4692.06,0.000653
0,small_50pct,0,17,90.0,9000,4792,4800.28,0.001728
0,small_50pct,0,18,95.0,9500,4911,4922.71,0.002385
0,small_50pct,0,19,100.0,10000,5000,5014.81,0.002961
0,small_50pct,1,0,5.0,500,475,471.73,-0.006892
0,small_50pct,1,1,10.0,1000,928,925.66,-0.002518
0,small_50pct,1,2,15.0,1500,1348,1349.05,0.000776
0,small_50pct,1,3,20.0,2000,1723,1721.34,-0.000964
0,small_50pct,1,4,25.0,2500,2079,2085.24,0.003003
0,small_50pct,1,5,30.0,3000,2413,2394.79,-0.007545
0,small_50pct,1,6,35.0,3500,2722,2709.13,-0.004729
0,small_50pct,1,7,40.0,4000,3007,2980.36,-0.008860
0,small_50pct,1,8,45.0,4500,3235,3202.57,-0.010026
0,small_50pct,1,9,50.0,5000,3463,3425.36,-0.010868
0,small_50pct,1,10,55.0,5500,3704,3666.24,-0.010195
0,small_50pct,1,11,60.0,6000,3894,3860.00,-0.008732
0,small_50pct,1,12,65.0,6500,4076,4033.04,-0.010540
0,small_50pct,1,13,70.0,7000,4255,4209.22,-0.010759
0,small_50pct,1,14,75.0,7500,4403,4358.59,-0.010087
0,small_50pct,1,15,80.0,8000,4538,4477.75,-0.013276
0,small_50pct,1,16,85.0,8500,4668,4611.04,-0.012203
0,small_50pct,1,17,90.0,9000,4794,4737.40,-0.011806
0,small_50pct,1,18,95.0,9500,4897,4844.57,-0.010706
0,small_50pct,1,19,100.0,10000,5000,4947.04,-0.010592
0,small_50pct,2,0,5.0,500,481,482.02,0.002124
0,small_50pct,2,1,10.0,1000,932,936.25,0.004558
0,small_50pct,2,2,15.0,1500,1357,1359.91,0.002143
0,small_50pct,2,3,20.0,2000,1736,1732.45,-0.002045
0,small_50pct,2,4,25.0,2500,2085,2089.79,0.002296
0,small_50pct,2,5,30.0,3000,2422,2431.87,0.004077
0,small_50pct,2,6,35.0,3500,2731,2738.65,0.002801
0,small_50pct,2,7,40.0,4000,2999,3024.80,0.008603
0,small_50pct,2,8,45.0,4500,3246,3257.37,0.003504
0,small_50pct,2,9,50.0,5000,3486,3509.39,0.006710
0,small_50pct,2,10,55.0,5500,3693,3705.06,0.003265
0,small_50pct,2,11,60.0,6000,3894,3908.16,0.003638
0,small_50pct,2,12,65.0,6500,4086,4106.11,0.004922
0,small_50pct,2,13,70.0,7000,4253,4286.98,0.007990
0,small_50pct,2,14,75.0,7500,4408,4444.93,0.008377
0,small_50pct,2,15,80.0,8000,4547,4579.27,0.007096
0,small_50pct,2,16,85.0,8500,4684,4705.39,0.004566
0,small_50pct,2,17,90.0,9000,4813,4833.82,0.004327
0,small_50pct,2,18,95.0,9500,4907,4932.17,0.005130
0,small_50pct,2,19,100.0,10000,5000,5033.83,0.006766
0,small_50pct,3,0,5.0,500,482,483.05,0.002181
0,small_50pct,3,1,10.0,1000,935,944.72,0.010397
0,small_50pct,3,2,15.0,1500,1339,1346.87,0.005881
0,small_50pct,3,3,20.0,2000,1720,1735.79,0.009177
0,small_50pct,3,4,25.0,2500,2072,2081.84,0.004747
0,small_50pct,3,5,30.0,3000,2410,2423.76,0.005708
0,small_50pct,3,6,35.0,3500,2701,2710.31,0.003446
0,small_50pct,3,7,40.0,4000,2975,2988.76,0.004624
0,small_50pct,3,8,45.0,4500,3225,3224.47,-0.000165
